name,nationality,year,rating,roles
rain,Norway,2020,1.01,
buster,Kazakhstan,2020,1.01,
sdy,Ukraine,2020,1.01,
BnTeT,Indonesia,2020,1.01,
tarik,USA,2020,1.01,
flusha,Sweden,2020,1.01,
RpK,France,2020,1.00,
apEX,France,2020,1.00,
facecrack,Russia,2020,1.00,
magixx,Russia,2020,1.00,
JW,Sweden,2020,0.99,
leaf,USA,2020,0.99,
hampus,Sweden,2020,0.99,
VINI,Brazil,2020,0.99,
motm,USA,2020,0.99,
NBK-,France,2020,0.99,
Aleksib,Finland,2020,0.99,
Liazz,Australia,2020,0.98,
tiziaN,Germany,2020,0.98,
chopper,Russia,2020,0.98,
misutaaa,France,2020,0.98,
almazer,Russia,2020,0.98,
Boombl4,Russia,2020,0.98,
JACKZ,France,2020,0.98,
Bymas,Lithuania,2020,0.98,
twist,Sweden,2020,0.98,
Perfecto,Russia,2020,0.98,
s0m,USA,2020,0.98,
Jamppi,Finland,2020,0.97,
Stewie2K,USA,2020,0.97,
amanek,France,2020,0.97,
AZR,Australia,2020,0.97,
Kjaerbye,Denmark,2020,0.96,
flamie,Russia,2020,0.96,
vanity,USA,2020,0.96,
stanislaw,Canada,2020,0.96,
sergej,Finland,2020,0.95,
k1to,Germany,2020,0.95,
suNny,Finland,2020,0.95,
RUSH,USA,2020,0.95,
Maikelele,Sweden,2020,0.95,
xseveN,Finland,2020,0.94,
Jonji,Canada,2020,0.94,
Aerial,Finland,2020,0.94,
b0RUP,Denmark,2020,0.93,
nitr0,USA,2020,0.93,
meyern,Argentina,2020,0.92,
trk,Brazil,2020,0.92,
SANJI,Uzbekistan,2020,0.91,
Golden,Sweden,2020,0.91,
TACO,Brazil,2020,0.90,
chrisJ,Netherlands,2020,0.89,
olofmeister,Sweden,2020,0.89,
AcilioN,Denmark,2020,0.89,
JT,South Africa,2020,0.88,
karrigan,Denmark,2020,0.88,
daps,Canada,2020,0.86,
AdreN,Kazakhstan,2020,0.82,
kRYSTAL,Germany,2020,0.79,
